text,therapy,disorder,source,citation
"I have been falling into a deep depression where I can no function during the day and night. The only time I am at peace is when I’m asleep. If I am with friends, family, at work, and mainly alone, I cannot think straight. I no longer feel like myself.",Sleep Therapy,Depression,huggingface_counseling,
"I've hit my head on walls and floors ever since I was young. I sometimes still do it but I don't exactly know why,    I have anxiety and I had a rough childhood but now I'll start to hit my head and sometimes not realize it but I don't know how to stop or even why I'm doing it.    How can I help mys",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with recurrent depression, early trauma, attachment issues, self-criticism. Previous episode resolved with therapy.",Psychodynamic Therapy,Depression,clinical_knowledge_graph,NICE CG90: Short-term psychodynamic therapy for depression
"I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I found out my boyfriend takes anti-depression medicine. Lately he's been saying he has a lot on his mind, and he needs time to think about us. We've only been dating 3 weeks but I like him a lot.",Cognitive Behavioral Therapy,Depression,huggingface_counseling,
"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad.""
   How can I get through to him so he will ta",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
Every winter I find myself getting sad because of the weather. How can I fight this?,Sleep Therapy,Anxiety,huggingface_counseling,
"I'm in my late teens and live with my dad.  The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks. 

Sometimes I feel i'm not worth knowing or i'm never going to do anything righ",Cognitive Behavioral Therapy,Depression,huggingface_counseling,
"Or how to send him somewhere that can help him, something like The Baker Act.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I love him, but he doesn’t show me love. He talks badly about me to his friends.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My husband and I are in our 40s. We’ve been married 17 years. Three weeks ago, he said he loves me but is not in love with me. He was going to leave me, but he said he thought about it and decided to stay. I don't know how to feel any more. How should I take what he said and not feel so hurt? He has",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"In middle school and high school, my friends and family thought I was gay. I tried telling them, but they wouldn’t believe me. It almost feels like they wanted me to be. Now I’m actually starting to believe them. I know I wasn’t back then, and now I’m not sure anymore.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
My boyfriend is in recovery from drug addiction. We recently got into a fight and he has become very distant.  I don't know what to do to fix the relationship.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I have been married for 11 years. Within the past 2 years we have drifted far apart. We coexist together but there is very little personal interest in each other. I often feel that my husband has ""friends"" at work that he is more emotional invested in than me. I feel very alone and just uncared for.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My dad beat and mentally abused me so badly that I can't function properly. Letting go of the past is important to moving on and getting better, but I’m terrified to get better because I don't even know who I am without the trauma. I've never gotten to be myself. I don't even know who I am.",Cognitive Behavioral Therapy,PTSD,huggingface_counseling,
"She's busy because her mom makes her clean all the time and go out places with her family. We don't talk much because of it. Also, we have little fights. We want to work it out but we don't know how.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My dad cheated on my mom for 13 years. I cannot stop obsessing over the fact that my boyfriend might be cheating on me even when I know he isn't. I have full access to his phone, social media, and e-mails. I never find anything, but I'm obsessed with constantly checking just in case. How do I stop t",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I'm scared that I am with this man so I won't be alone. He should be with somebody who deserves him if this is the case, and I don’t want to hurt him.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I am so terrified of having sex anymore because I have been told over and over that sex is dangerous even though me and my partner used both forms of protection. My partner is not happy about this and simply wants more sex, and honestly, I want to give that to her.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I think I'm annoying and bothersome, but my girlfriend says I'm just fine. I don't think so, I think I'm stressing everyone else out",Cognitive Behavioral Therapy,Stress,huggingface_counseling,
"Patient presents with nervousness, overthinking, concentration difficulties, sleep onset delay. Previous episode resolved with therapy.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,DSM-5 GAD criteria + NICE step-care model
My roommate is a unapologetic person who doesn't care who she hurts. She never apologizes to me or my family. She made me lose my temper today to the point where I was using swear words in front of my mom and brother.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Every time I speak, he says I anger him. Also, when he’s mad at something, like work, he gets angry at me. I feel like we’re so distant from each other now. We used to laugh all the time, and I feel like he lets too much negativity in. What should I do? We've been married for two years but together ",Cognitive Behavioral Therapy,Depression,huggingface_counseling,
"I don't remember when the voices in my head started, but I remember Hearing them when I was little. 

I know it's not normal to hear voices that aren't your own. I fight the voices and I want them to stop.  They've been here so long and I want them gone. How can I make the voices stop?",Medication Management,Anxiety,huggingface_counseling,
"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad.""
   How can I get through to him so he will ta",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with screen use, irregular schedule, caffeine, sleep hygiene problems. Patient has tried self-management without success.",Sleep Therapy,Insomnia,clinical_knowledge_graph,AASM: Sleep hygiene education as component of CBT-I
"We had our first kid 15 years ago, and sex has been nonexistent ever since. It only happens every three or four months. We have been to counseling, and I have been told over and over again she will come around. She hasn't, and I'm intimately lonely! I think it's time to move on, but how do I do that",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with loss of interest, persistent low mood, poor concentration, fatigue.",Cognitive Behavioral Therapy,Depression,clinical_knowledge_graph,NICE CG90: CBT recommended for mild-moderate depression
How does a counselor decide when to end counseling sessions or to terminate working with a client?,Cognitive Behavioral Therapy,Stress,huggingface_counseling,
"After my fiancé cheated on me because of a miscommunication, I pulled myself away from him.    Now he says all he wants is be with me. I'm pushing him away mentally now because he cheated on me again. I make plans with him that I don't keep. I really do love him still and I care about him. Should I ",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"He wants to wear makeup and heels. He even tucks his penis away to resemble a vagina. He wants me to wear a strap on and have anal sex with him. I have tried this for him, but I don’t like it and have told him so. He keeps making comments about it and says he can't live without it.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with muscle tension, excessive worry, uncontrollable worry. This has persisted for several months.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,NICE CG113: CBT recommended as first-line psychological intervention for GAD
"I'm not the same anymore, I don't know how to get back to who I am. I'm sad and confused and angry and tired. I don't sleep well.",Sleep Therapy,Anxiety,huggingface_counseling,
"I have a lot of issues going on right now. First of all, I have a lot of trouble sleeping at times, while other nights I sleep too much and still feel quite tired. I’m also noticing increased irritability and experiencing anxiety attacks that last for hours. Is there something wrong with me and if s",Sleep Therapy,Anxiety,huggingface_counseling,
"My ex-fiancé (whom I am still seeing) left me because of the pressure from all three of his teenage daughters. They wanted him to try to work it out with their mom (his ex-girlfriend of 20 years). He and I split three months ago, but I have been seeing him pretty regularly despite the fact that he i",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Hello, I have a cousin in my family who has been making me feel belittled, insecure, and frustrated during her stay here in the city. I know she comes from a place of love, but she has always been short-fused and highly temperamental if something doesn't work out the way she planned it. I have tried",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"For some reason, I look at my phone, and in no time, five hours has passed. During those five hours, I'm playing games and trying to find out how to make my phone fun to use so I don't feel like I wasted my time trying to improve my phone's performance in my life.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with loss of interest, fatigue. Impact on work and relationships noted.",Cognitive Behavioral Therapy,Depression,clinical_knowledge_graph,NICE CG90: CBT recommended for mild-moderate depression
"Patient presents with irritability, fatigue. Symptoms are affecting daily functioning.",Mindfulness-Based Therapy,Anxiety,clinical_knowledge_graph,NICE CG113 Step 3: MBSR as alternative where CBT not available
It's really hard to not have negative feelings about friends who don't put any effort into nourishing our relationship.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counse",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I decided to stay and work it out. I just don’t want to sit on the couch. Other than that, I have been getting over the situation. I don't feel it is fair that she expects me to sit on that couch and won’t leave me alone about it. I can move on and continue to love, laugh, and play with my wife. I j",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me.,Sleep Therapy,Anxiety,huggingface_counseling,
"Patient presents with uncontrollable worry, muscle tension, restlessness, excessive worry. No prior psychiatric history.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,NICE CG113: CBT recommended as first-line psychological intervention for GAD
My grandson's step-mother sends him to school with a pink Barbie backpack as a form of punishment.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with deadline anxiety, overwhelmed, work-life imbalance, pressure. Patient has tried self-management without success.",Cognitive Behavioral Therapy,Stress,clinical_knowledge_graph,CBT for stress management: problem-solving + cognitive restructuring
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counse",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
I get very nervous and anxious/scared before sex.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
Why am I attracted to older men?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
I'm a 40 year old male and having erection problems. Still have the desire for a woman. Awfully frustrated. Any suggestions? My Doc doesn't want to discuss it.,Medication Management,Anxiety,huggingface_counseling,
"I'm a teenage girl. I don't know if I'm straight, bisexual, or gay. I've been straight all my life, but a sudden rush of questions have come over me, and I don't know anymore.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My brother has been diagnosed with paranoid schizophrenia and has not been taking his medication. He's been using methamphetamine and alcohol and was found sleeping naked in my step mom driveway in 12 degree weather.

I was adopted in by his dad (who just passed) and his mother will not Get involv",Sleep Therapy,Anxiety,huggingface_counseling,
"I'm in a relationship with my fiancé and I currently found out that she's been cheating on me with a co-worker. I was very upset none the less. I understand what she did was wrong, but I want to spend the rest of my life with her. So I'm willing to forgive and move on. We have been together for a li",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with concentration difficulties, sleep onset delay. This has persisted for several months.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,DSM-5 GAD criteria + NICE step-care model
I think about death all the time because I feel so alone. I want someone to love and someone to love me.,Cognitive Behavioral Therapy,Depression,huggingface_counseling,
My girlfriend's grandma passed away 5 months ago. They were very close. She took care of her till she died. Things kinda returned to normal few weeks later. Last month it feels like we hit a brick wall. Intimacy fell off. I asked what's up. She says she can't connect with anyone and that it's not me,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I've been hurt by a man for five years. He doesn't involve me with the family or kids. Everyone in the family is against me. There is a Mass today for a family member, and he never asked me to go. I'm to sit home alone now and Christmas too. He expects me to sit alone while he enjoys being with the ",Sleep Therapy,Depression,huggingface_counseling,
"Patient presents with avoidance, emotional numbing, detachment. Patient has tried self-management without success.",EMDR Therapy,PTSD,clinical_knowledge_graph,NICE 2018: Trauma-focused EMDR for PTSD — 8-12 sessions
I believe it is wrong for men to look at inappropriate content. The father of my child has agreed to respect my beliefs. His co-worker sent him an inappropriate video. He got mad because he does not think he should tell his friend to not send him things like that.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My wife and I have a great relationship except for our sex lives. We are pretty transparent and honest, and basically, she feels bad because she never wants to have sex. She doesn't have the desire. She's also never orgasmed. She feels like a terrible wife and fears I'll cheat on her. She doesn't kn",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"When my boyfriend gets in a snit, he gives me the silent treatment for days. When I ask what is wrong, I get nothing: no reply, no phone call. If he does reply, it is something very sarcastic and hurtful. He never admits he is wrong and never apologizes.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with pressure, deadline anxiety, overwhelmed. Symptoms are affecting daily functioning.",Cognitive Behavioral Therapy,Stress,clinical_knowledge_graph,CBT for stress management: problem-solving + cognitive restructuring
"I've been bullied for years and the teachers have done nothing about it. I haven't been diagnosed with depression, but i have been extremely sad for years.

How can I deal with being bullied at school when the teachers won't help?",Cognitive Behavioral Therapy,Depression,huggingface_counseling,
"I found out today that my wife is cheating on me. I love her, but she won’t tell the truth even when I have proof. When I beg her to tell the truth, she yells, cusses, and gets a huge attitude.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with specific fear, avoidance, anticipatory anxiety. Impact on work and relationships noted.",Exposure Therapy,Anxiety,clinical_knowledge_graph,APA Practice Guideline: In vivo exposure for specific phobia
"He isn't violent, but he has anger issues and deep insecurities. He's working on them and has improved. We started counseling, and he participated in one or two individual sessions, but we broke up again shortly thereafter. Now his constant questions and accusations are getting really draining.",Cognitive Behavioral Therapy,PTSD,huggingface_counseling,
"I was in a situation with a guy. He’s my brother’s friend and kind of like a brother to me. He invited me over to hang out, and then came on to me. I was instantly terrified to say no, and I gave in. I don't know what's wrong with me. I can't figure out why I'm afraid to say no. This is giving me a ",Cognitive Behavioral Therapy,Depression,huggingface_counseling,
"Patient presents with poor concentration, persistent low mood, fatigue. Patient has tried self-management without success.",Cognitive Behavioral Therapy,Depression,clinical_knowledge_graph,NICE CG90: CBT recommended for mild-moderate depression
"Patient presents with sleep hygiene problems, caffeine.",Sleep Therapy,Insomnia,clinical_knowledge_graph,AASM: Sleep hygiene education as component of CBT-I
"Patient presents with loss, sadness, adjustment disorder. Impact on work and relationships noted.",Psychodynamic Therapy,Depression,clinical_knowledge_graph,DSM-5: Prolonged grief disorder — psychodynamic or grief-focused therapy
"Patient presents with caffeine, irregular schedule, screen use.",Sleep Therapy,Insomnia,clinical_knowledge_graph,AASM: Sleep hygiene education as component of CBT-I
"Patient presents with chronic depression, treatment-resistant depression. Symptoms are affecting daily functioning.",Medication Management,Depression,clinical_knowledge_graph,NICE CG90: Combination of antidepressant + psychological therapy
I don't know how to tell someone how I feel about them. How can I get better at expressing how I feel?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I am in my early 20s and I still live with my parents because I can't afford to live alone.

My mother says that if I live under her roof I have to follow her rules. She is trying to control my life. What should I do?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with anticipatory fear, unexpected panic attacks.",Exposure Therapy,Panic Disorder,clinical_knowledge_graph,NICE CG113: Exposure therapy for panic disorder with agoraphobia
"My husband and I have been married for seven years, and in that time, we have only had sex four or five times. Others have told me that most men would have left me by now. Honestly, I think I have a low sex drive or neither one of us actually knows what we are doing. I want to be better connected wi",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"We had great chemistry, but then he became distant. I had the feeling that I can't be without him. As soon as I felt the difference, I was scared to lose him. I started freaking out if he did not answer, thinking that something bad happened.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I'm a teenager, and while I’ve never been to any kind of therapist, I noticed I experience several anxiety symptoms. I frequently find myself not going out and following my parent around the house. I can't go into stores (grocery stores specifically) on my own, and when I do, I have to be on the pho",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with panic attacks, fear of dying. Patient reports significant distress.",Exposure Therapy,Panic Disorder,clinical_knowledge_graph,NICE CG113: Panic disorder — CBT with interoceptive exposure is first-line
"I’m a senior high school student. I’m also five months pregnant. I got pregnant by my boyfriend of three years. My parents don’t want us to communicate with each other. He can’t even come to visit my gynecologist. My mom goes to attend all of my doctor’s appointments. She’s supportive of me. I wish,",Cognitive Behavioral Therapy,Stress,huggingface_counseling,
"I feel depressed even though I act like a happy with my family. I act like I’m happy so my son doesn’t see me sad. I act like my life is a happy life, but I feel sad and depressed. I sometimes think of killing myself and that my family deserve someone better than me. I just cry and write in my book ",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with blushing, embarrassment, social fear.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,NICE CG159: CBT recommended for social anxiety disorder
"I was born a girl, but I want to be a boy. Because of my religion I can't tell my family. I know they won't accept me. What do I do?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with fear of losing control, derealization. No prior psychiatric history.",Cognitive Behavioral Therapy,Panic Disorder,clinical_knowledge_graph,Clark 1986 cognitive model of panic: CBT targets catastrophic misinterpretation
"Patient presents with social withdrawal, isolation, loneliness, loss of relationships. Impact on work and relationships noted.",Group Therapy,Depression,clinical_knowledge_graph,NICE CG90: Group-based CBT or IPT for depression with social difficulties
"I feel like I am internally screaming all the time. Externally, I am calm, but I have this intense, unidentifiable emotion constantly. I don't feel sad. I don't cry a lot. I feel rather emotionally distant other than the internal screaming. It kind of feels like I'm a caged animal.",Cognitive Behavioral Therapy,Depression,huggingface_counseling,
"I believe my partner has a masturbation and porn problem. He masturbates daily, even when I am lying in bed sleeping beside him. We have sex once a week. He is rough and worries about his needs. He never touches me, and treats me like a porn star, wanting to finish on my face or chest.",Sleep Therapy,Anxiety,huggingface_counseling,
"I've been dealing with this for years. My mom thinks I'm overly emotional and refuses to offer any help, like therapy or seeing a doctor. She's seen me when I'm having a panic attack and just said I was faking for attention or that I'm a hypochondriac. I just want to get better.",Cognitive Behavioral Therapy,Panic Disorder,huggingface_counseling,
I'm worried I should see a therapist due to past events and current mental status. I'm just so unsure of how to ask my doctor about seeing someone.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I'm a teenager. I get random spurts of anger, like complete, pure rage. I figured it was hormones, but others notice it too. I get self-destructive. I used to cut but stopped. Now when I get mad, I bite my arms and fingers, pull my hair, scratch my face, or punch my thighs. Basically, I do things I ",Cognitive Behavioral Therapy,Stress,huggingface_counseling,
"Patient presents with restlessness, excessive worry, muscle tension. Impact on work and relationships noted.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,NICE CG113: CBT recommended as first-line psychological intervention for GAD
"That phrase makes me crazy. It happens anytime I point out something to my husband that he needs to change, such as looking up from his iPad long enough for me to tell him the grandbaby almost pulled the shelf unit over or explaining to him that I got all the things he needs to bake a pie. Another e",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
My fiancé and I recently had an argument over finances. He gives me the money each month to pay his automobile insurance. He no longer has one of the vehicles on the policy. He realized he was still paying for the coverage and asked why I was allowing him to continue to do that since I was physicall,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with worthlessness, anhedonia, passive suicidal ideation.",Cognitive Behavioral Therapy,Depression,clinical_knowledge_graph,NICE CG90: CBT for moderate-severe depression
"Sometimes, I'm fine and can go out or meet people, but other days, my heart races and words physically cannot come out of my mouth. I've always thought it was normal and I was just nervous, but the other day, it took me almost 30 minutes of sitting in my car to find the courage to enter Target by my",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I don't remember when the voices in my head started, but I remember Hearing them when I was little.    I know it's not normal to hear voices that aren't your own. I fight the voices and I want them to stop. They've been here so long and I want them gone. How can I make the voices stop?",Sleep Therapy,Stress,huggingface_counseling,
"Patient presents with early morning awakening, daytime fatigue. Patient reports significant distress.",Sleep Therapy,Insomnia,clinical_knowledge_graph,AASM CBT-I: Sleep restriction + stimulus control therapy
"I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman.",Cognitive Behavioral Therapy,Depression,huggingface_counseling,
"I'm in my early 20s, and I've been seeing my boyfriend for a year now. My boyfriend has always been the sweetest guy until recently. He has made comments such as “you would look better as a Tumblr girl"" or ""you should start doing more squats."" It's really hurtful.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I've been with my boyfriend over 3 years. He cheated on me and the woman is now pregnant. He is physically and mentally abusive towards me. I have attempted to talk with him in order to resolve our issues; however, he never wants to talk and often blames me for everything.
I’m always there when he n",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with avoidance of places, anticipatory fear.",Exposure Therapy,Panic Disorder,clinical_knowledge_graph,NICE CG113: Exposure therapy for panic disorder with agoraphobia
"I am a female, and I am afraid of having sex. I am afraid of disappointing my partner by being inexperienced. I think he thinks I'm not a virgin. I am also scared that he will be disappointed with my naked body. I don't want my partner to think differently of me because I am afraid of having sex.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My husband and I have been together for seven years now. I will be honest: I have a problem lying to him about stupid stuff. I recently stupidly lied to my husband about an accident because I was afraid to tell him what happened. Ever since then, he gives me the cold shoulder. He gets so mad and ign",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My parents seem okay with other sexualities, but normally they only talk about being gay. When they do talk about bisexuality, they say things like “they'll do anything” or things that make me very uncomfortable because I am bisexual. I don't know if I am ready to come out to them.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with avoidance, survivor guilt, detachment. Previous episode resolved with therapy.",EMDR Therapy,PTSD,clinical_knowledge_graph,NICE 2018: Trauma-focused EMDR for PTSD — 8-12 sessions
"Patient presents with specific fear, phobic stimulus. Symptoms are affecting daily functioning.",Exposure Therapy,Anxiety,clinical_knowledge_graph,APA Practice Guideline: In vivo exposure for specific phobia
Every winter I find myself getting sad because of the weather. How can I fight this?,Cognitive Behavioral Therapy,Depression,huggingface_counseling,
"I'm in my late teens and live with my dad. The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks.    Sometimes I feel i'm not worth knowing or i'm never going to do anything right.",Cognitive Behavioral Therapy,Depression,huggingface_counseling,
"I have anxieties about everyday stressors, i.e. finances, work, relationships, kids, and maintaining a household.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
I would like to be able to have more positive relationships in the present.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
